"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
PTL,Pinta líquida (estados unidos),   liq pt (US),PINTA LIQUIDA (ESTADOS UNIDOS)
PTN,Parte, PTN,PARTE
PV,Media pinta (US),,MEDIA PINTA (US)
PW,Libra por pulgada de ancho,,LIBRA POR PULGADA DE ANCHO
PY,Pico seco (EUA),,PICO SECO (EUA)
PZ,Peck dry (UK),,PECK DRY (UK)
Q10,Joule por tesla, J/T,JOULE POR TESLA
Q11,Erlang,  E,ERLANG
Q12,Octeto,  o,OCTETO
Q13,Octeto por segundo, o/s,OCTETO POR SEGUNDO
Q14,Shannon, Sh,SHANNON
Q15,Hartley,Hart,HARTLEY
Q16,Unidad natural de información, nat,UNIDAD NATURAL DE INFORMACION
Q17,Shannon por segundo,Sh/s,SHANNON POR SEGUNDO
Q18,Hartley por segundo,     Hart/s,HARTLEY POR SEGUNDO
Q19,Unidad natural de información por segundo,nat/s,UNIDAD NATURAL DE INFORMACION POR SEGUNDO
Q20,Segundo por kilogramo,s/kg,SEGUNDO POR KILOGRAMO
Q21,Watt metro cuadrado,WÀm?,WATT METRO CUADRADO
Q22,Segundo por metro cúbicos de radianes,  1/(HzÀradÀm?),SEGUNDO POR METRO CUBICOS DE RADIANES
Q23,Weber a la potencia menos uno,1/Wb,WEBER A LA POTENCIA MENOS UNO
Q24,Reciprocidad de Pulgada,1/in,RECIPROCIDAD DE PULGADA
Q25,Dioptría, dpt,DIOPTRIA
Q26,Uno por uno, 1/1,UNO POR UNO
Q27,Newtons metros por metro,     NÀm/m?,NEWTONS METROS POR METRO
Q28,Kilograma por metro cuadrado pascal segundo,  kg/(m?ÀPaÀs),KILOGRAMA POR METRO CUADRADO PASCAL SEGUNDO
Q29,Microgramo por hectogramo,Ág/hg,MICROGRAMO POR HECTOGRAMO
Q3,Comida,,COMIDA
Q30,Ph (potencial de hidrogeno), pH,PH (POTENCIAL DE HIDROGENO)
Q31,Kilojoule por gramo,kJ/g,KILOJOULE POR GRAMO
Q32,Femtolitro, fl,FEMTOLITRO
Q33,Picolitro, pl,PICOLITRO
Q34,Nanolitro, nl,NANOLITRO
Q35,Megawatts por minuto,     MW/min,MEGAWATTS POR MINUTO
Q36,Metro cuadrado por metro cúbico,m2/m3,METRO CUADRADO POR METRO CUBICO
Q37,Metro cúbico estándar por día,,METRO CUBICO ESTANDAR POR DIA
Q38,Metro cúbico estándar por hora,,METRO CUBICO ESTANDAR POR HORA
Q39,Metro cúbico normalizado por día,,METRO CUBICO NORMALIZADO POR DIA
Q40,Metro cúbico normalizado por hora,,METRO CUBICO NORMALIZADO POR HORA
Q41,Joule por metro cúbico normalizado,,JOULE POR METRO CUBICO NORMALIZADO
Q42,Joule por metro cúbico estándar,,JOULE POR METRO CUBICO ESTANDAR
QA,Página-fascimil,,PAGINA-FASCIMIL
QAN,Cuarto (de un año),,CUARTO (DE UN ANO)
QB,"Página, copia impresa",,"PAGINA, COPIA IMPRESA"
QD,Cuarta docena,,CUARTA DOCENA
QH,Un cuarto de hora,,UN CUARTO DE HORA
QK,Cuarto de kilogramo,,CUARTO DE KILOGRAMO
QR,Mano de papel, qr,MANO DE PAPEL
QT,Cuarto (EUA),     Qt (US),CUARTO (EUA)
QTD,Cuarto seco (estados unidos),   dry qt (US),CUARTO SECO (ESTADOS UNIDOS)
QTI,Cuarto (UK),     qt (UK),CUARTO (UK)
QTL,Cuarto de líquido (estadis unidos),   liq qt (US),CUARTO DE LIQUIDO (ESTADIS UNIDOS)
QTR,Cuarto,     Qr (UK),CUARTO
R1,Pica,,PICA
R9,Mil metros cúbicos,,MIL METROS CUBICOS
RH,Hora de funcionamiento,,HORA DE FUNCIONAMIENTO
RK,Medida métrica de rollo,,MEDIDA METRICA DE ROLLO
RM,Resma,,RESMA
RN,Medida métrica de Hojas (resma),,MEDIDA METRICA DE HOJAS (RESMA)
ROM,Habitación,,HABITACION
RP,Libra por resma,,LIBRA POR RESMA
RPM,Revoluciones por minuto,r/min,REVOLUCIONES POR MINUTO
RPS,Revoluciones por segundo, r/s,REVOLUCIONES POR SEGUNDO
RS,Reiniciar,,REINICIAR
RT,Milla de toneladas de ingresos,,MILLA DE TONELADAS DE INGRESOS
RU,correr,,CORRER
S3,Pie cuadrado por segundo,ft?/s,PIE CUADRADO POR SEGUNDO
S4,Metro cuadrado por segundo,m?/s,METRO CUADRADO POR SEGUNDO
S5,Sesenta cuartos de pulgada,,SESENTA CUARTOS DE PULGADA
S6,Sesión,,SESION
S7,unidad de almacenamiento,,UNIDAD DE ALMACENAMIENTO
S8,Unidad de publicidad estándar,,UNIDAD DE PUBLICIDAD ESTANDAR
SAN,Medio año,,MEDIO ANO
SCO,Puntuación,,PUNTUACION
SCR,Escrúpulo,,ESCRUPULO
SD,Libra sólida,,LIBRA SOLIDA
SE,Sección,,SECCION
SEC,Segundo [unidad de tiempo],  s,SEGUNDO [UNIDAD DE TIEMPO]
SET,Conjunto,,CONJUNTO
SG,Segmento,,SEGMENTO
SHT,Tonelada de envíos,,TONELADA DE ENVIOS
SIE,Siemens,  S,SIEMENS
SK,Camión cisterna con división,,CAMION CISTERNA CON DIVISION
SM3,Metro cúbico estándar,,METRO CUBICO ESTANDAR
SMI,Milla (milla estatal),mile,MILLA (MILLA ESTATAL)
SN,Barra cuadrada, Rd?,BARRA CUADRADA
SQ,Cuadrado,,CUADRADO
SQR,Cuadrado y techado,,CUADRADO Y TECHADO
SR,Tira,,TIRA
á,Medida métrica de hoja,,MEDIDA METRICA DE HOJA
áT,Estandar corto (7200 partidos),,ESTANDAR CORTO (7200 PARTIDOS)
STC,Palo,,PALO
STI,Estone (UK), st,ESTONE (UK)
STK,"Palo, cigarrillo",,"PALO, CIGARRILLO"
STL,Litro estándar,,LITRO ESTANDAR
STN,Tonelada (estados unidos) o tonelada corta (UK y estados unidos),    ton (US),TONELADA (ESTADOS UNIDOS) O TONELADA CORTA (UK Y ESTADOS UNIDOS)
STW,Paja,,PAJA
SW,Número de madejas,,NUMERO DE MADEJAS
SX,Envío,,ENVIO
SYR,Jeringuilla,,JERINGUILLA
T0,Linea de telecomunicaciones en servicio,,LINEA DE TELECOMUNICACIONES EN SERVICIO
T1,Mil libras,,MIL LIBRAS
T3,Mil pedazos,,MIL PEDAZOS
T4,Bolsa de mil,,BOLSA DE MIL
T5,Mil envolturas,,MIL ENVOLTURAS
T6,Mil galones (US),,MIL GALONES (US)
T7,Impresión de mil,,IMPRESION DE MIL
T8,Mil pulgadas lineales,,MIL PULGADAS LINEALES
TA,Décimo de pie cúbico,,DECIMO DE PIE CUBICO
TAB,Tonelada de registro bruto,,TONELADA DE REGISTRO BRUTO
TAH,Kiloamperio-hora (milamperio-hora),kAÀh,KILOAMPERIO-HORA (MILAMPERIO-HORA)
TAN,Número de acido total, TAN,NUMERO DE ACIDO TOTAL
TC,Camión,,CAMION
TD,Termico,,TERMICO
TE,Totalizador,,TOTALIZADOR
TF,Diez yardas cuadradas,,DIEZ YARDAS CUADRADAS
TI,Mil pulgadas cuadradas,,MIL PULGADAS CUADRADAS
TIC,"Tonelada métrica, incluido el contenedor",,"TONELADA METRICA, INCLUIDO EL CONTENEDOR"
TIP,"Tonelada métrica, incluido el embalaje interior",,"TONELADA METRICA, INCLUIDO EL EMBALAJE INTERIOR"
TJ,Mil centímetros cuadrados,,MIL CENTIMETROS CUADRADOS
TKM,Tonelada kilometro,tÀkm,TONELADA KILOMETRO
TL,Mil pies (lineal),,MIL PIES (LINEAL)
TMS,"Kilogramo de carne importada, menos despojos",,"KILOGRAMO DE CARNE IMPORTADA, MENOS DESPOJOS"
TNE,Tonelada (tonelada métrica),  t,TONELADA (TONELADA METRICA)
TP,Paquete de diez,,PAQUETE DE DIEZ
TPI,Dientes por pulgada, TPI,DIENTES POR PULGADA
TPR,Decenas de pares,,DECENAS DE PARES
TQ,Mil pies,,MIL PIES
TQD,Mil metros cúbicos por día,km?/d,MIL METROS CUBICOS POR DIA
TR,Diez pies cuadrados,,DIEZ PIES CUADRADOS
TRL,Trillones (eur),,TRILLONES (EUR)
Ts,Mil pies cuadrados,,MIL PIES CUADRADOS
TSD,Tonelada de sustancia 90% seca,,TONELADA DE SUSTANCIA 90% SECA
TSH,Tonelada de vapor por hora,,TONELADA DE VAPOR POR HORA
TST,Decena de conjuntos,,DECENA DE CONJUNTOS
TT,Mil metros lineales,,MIL METROS LINEALES
TTS,Decenas de millar de pegatinas,,DECENAS DE MILLAR DE PEGATINAS
Tu,Contenedor externo,,CONTENEDOR EXTERNO
TV,Mil kilogramos,,MIL KILOGRAMOS
TW,Mil hojas,,MIL HOJAS
U1,Tratamiento,,TRATAMIENTO
U2,Número de tabletas,,NUMERO DE TABLETAS
UA,Torr,Torr,TORR
UB,Linea de telecomunicaciones en servicio promedio,,LINEA DE TELECOMUNICACIONES EN SERVICIO PROMEDIO
UC,Puerto de telecomunicaciones,,PUERTO DE TELECOMUNICACIONES
UD,Décimo minuto,,DECIMO MINUTO
UE,Hora de décimo,,HORA DE DECIMO
UF,Uso por línea de telecomunicaciones promedio,,USO POR LINEA DE TELECOMUNICACIONES PROMEDIO
UH,Diez mil yardas,,DIEZ MIL YARDAS
UM,Millón de unidades,,MILLON DE UNIDADES
UN,Newton metro, NÀm,NEWTON METRO
VA,Voltio-amperio por kilogramo,    VÀA / kg,VOLTIO-AMPERIO POR KILOGRAMO
VLT,Voltio,  V,VOLTIO
VP,Volumen porcentual,,VOLUMEN PORCENTUAL
VS,Visita,,VISITA
W2,Kilo húmedo,,KILO HUMEDO
W4,Dos semanas,,DOS SEMANAS
WA,Watt por kilogramo,W/kg,WATT POR KILOGRAMO
WB,Libra húmeda,,LIBRA HUMEDA
WCD,Cable,,CABLE
WE,Tonelada húmeda,,TONELADA HUMEDA
WEB,Weber, Wb,WEBER
WEE,Semana, wk,SEMANA
WG,Galón de vino,,GALON DE VINO
WH,Rueda,,RUEDA
WHR,Watt hora, WÀh,WATT HORA
WI,Peso por pulgada cuadrada,,PESO POR PULGADA CUADRADA
WM,Mes de trabajo,,MES DE TRABAJO
WR,Envolver,,ENVOLVER
WSD,Estándar, std,ESTANDAR
WTT,Watt,  W,WATT
WW,Mililitro de agua,,MILILITRO DE AGUA
X1,Cadena de gunter,     ch (UK),CADENA DE GUNTER
X1A,Tambor de acero,,TAMBOR DE ACERO
X1B,Tambor de aluminio,,TAMBOR DE ALUMINIO
X1D,Tambor contrachapado,,TAMBOR CONTRACHAPADO
X1F,Contenedor flexible,,CONTENEDOR FLEXIBLE
X1G,Tambor de fibra,,TAMBOR DE FIBRA
X1w,Tambor de madera,,TAMBOR DE MADERA
X2C,Barril de madera,,BARRIL DE MADERA
X3A,Bidón de acero,,BIDON DE ACERO
X3H,Bidón de plástico,,BIDON DE PLASTICO
X43,Bolsa de gran tamaño,,BOLSA DE GRAN TAMANO
X44,Bolsa de plastico,,BOLSA DE PLASTICO
X4A,Caja de acero,,CAJA DE ACERO
X4B,Caja de aluminio,,CAJA DE ALUMINIO
X4C,Caja de  madera natural,,CAJA DE  MADERA NATURAL
X4D,Caja de contrachapado,,CAJA DE CONTRACHAPADO
X4F,Caja de madera reconstituida,,CAJA DE MADERA RECONSTITUIDA
X4G,Caja de cartón,,CAJA DE CARTON
X4H,Caja de plástico,,CAJA DE PLASTICO
X5H,Bolsa de plástico tejido,,BOLSA DE PLASTICO TEJIDO
X5L,Bolsa textil,,BOLSA TEXTIL
X5M,Bolsa de papel,,BOLSA DE PAPEL
X6H,"Recipiente de plástico, Contenedor compuesto.",,"RECIPIENTE DE PLASTICO, CONTENEDOR COMPUESTO."
X6P,"Recipiente de vidrio, Contenedor compuesto.",,"RECIPIENTE DE VIDRIO, CONTENEDOR COMPUESTO."
X7A,Estuche para carro,,ESTUCHE PARA CARRO
X7B,Estuche de madera,,ESTUCHE DE MADERA
X8A,Pallet de madera,,PALLET DE MADERA
X8B,Cajón de madera,,CAJON DE MADERA
X8C,Madera flejada,,MADERA FLEJADA
XAA,Contenedor intermedio  para gráneles de plástico rígido,,CONTENEDOR INTERMEDIO  PARA GRANELES DE PLASTICO RIGIDO
XAB,Contenedor de fibra,,CONTENEDOR DE FIBRA
XAC,Contenedor de papel,,CONTENEDOR DE PAPEL
XAD,Contenedor de madera,,CONTENEDOR DE MADERA
XAE,Aerosol,,AEROSOL
XAF,"Pallet modular con collares,  80cms * 60cms",,"PALLET MODULAR CON COLLARES,  80CMS * 60CMS"
XAG,Pallet o empaquetado,,PALLET O EMPAQUETADO
XAH,"Pallet, 100cms X 110cms",,"PALLET, 100CMS X 110CMS"
XAI,Contenedor tipo concha,,CONTENEDOR TIPO CONCHA
XAJ,Cono,,CONO
XAL,Esféra,,ESFERA
XAM,Ampolleta no protegida,,AMPOLLETA NO PROTEGIDA
XAP,Ampolleta protegida,,AMPOLLETA PROTEGIDA
XAT,Atomizador,,ATOMIZADOR
XAV,Cápsula,,CAPSULA
XB4,Cinturón,,CINTURON
XBA,Barril,,BARRIL
XBB,Bobina,,BOBINA
XBC,Cajón para botellas / Estante para botellas,,CAJON PARA BOTELLAS / ESTANTE PARA BOTELLAS
XBD,Tablero,,TABLERO
XBE,Flejado,,FLEJADO
XBF,Globo no protegido,,GLOBO NO PROTEGIDO
XBG,Bolso,,BOLSO
XBH,Manojo,,MANOJO
XBI,Compartimiento,,COMPARTIMIENTO
XBJ,Cubeta,,CUBETA
XBK,Cesta,,CESTA
XBL,Paca comprimida,,PACA COMPRIMIDA
XBM,Cuenco,,CUENCO
XBN,Paca no comprimida,,PACA NO COMPRIMIDA
XBO,Botella no-protegida y cilíndrica,,BOTELLA NO-PROTEGIDA Y CILINDRICA
XBP,Globo protegido,,GLOBO PROTEGIDO
XBQ,Botella cilíndrica protegida,,BOTELLA CILINDRICA PROTEGIDA
XBR,Barra,,BARRA
XBS,"Botella, no-protegida en forma de bulbo",,"BOTELLA, NO-PROTEGIDA EN FORMA DE BULBO"
XBT,Rollo de tela,,ROLLO DE TELA
XBU,Butt,,BUTT
XBV,Botella de bulbo protegido,,BOTELLA DE BULBO PROTEGIDO
XBW,Caja para líquidos,,CAJA PARA LIQUIDOS
XBX,Caja,,CAJA
XBY,"Tablero, con fleje/ agrupados/ armados",,"TABLERO, CON FLEJE/ AGRUPADOS/ ARMADOS"
XBZ,"Barras, con fleje/ agrupados/ armados",,"BARRAS, CON FLEJE/ AGRUPADOS/ ARMADOS"
XCA,Lata rectangular,,LATA RECTANGULAR
XCB,Cajón para cerveza,,CAJON PARA CERVEZA
XCC,Mantequera,,MANTEQUERA
XCD,Lata con mango y boquilla,,LATA CON MANGO Y BOQUILLA
XCE,Cesto tejido,,CESTO TEJIDO
XCF,Cofre,,COFRE
XCG,Contenedor tipo Jaula,,CONTENEDOR TIPO JAULA
XCH,Cajonera,,CAJONERA
XCI,Frasco,,FRASCO
XCJ,Ataúd,,ATAUD
XCK,Barrica,,BARRICA
XCL,Espiral,,ESPIRAL
XCM,Paquete de tarjetas,,PAQUETE DE TARJETAS
XCN,"Contenedor, no especificado como equipo de transporte",,"CONTENEDOR, NO ESPECIFICADO COMO EQUIPO DE TRANSPORTE"
XCO,Garrafón no protegido,,GARRAFON NO PROTEGIDO
XCP,Garrafón protegido,,GARRAFON PROTEGIDO
XCQ,Cartucho,,CARTUCHO
XCR,Cajón,,CAJON
XCS,Estuche,,ESTUCHE
XCT,Cartón,,CARTON
XCU,Vaso,,VASO
XCV,Cubierta,,CUBIERTA
XCW,Jaula estilo rodillo,,JAULA ESTILO RODILLO
XCX,Lata cilíndrica,,LATA CILINDRICA
XCY,Cilindro,,CILINDRO
XCZ,Lona,,LONA
XDA,Cajón multicapa de plástico,,CAJON MULTICAPA DE PLASTICO
XDB,Cajón de varias capas de madera,,CAJON DE VARIAS CAPAS DE MADERA
XDC,Cajón multicapa de cartón,,CAJON MULTICAPA DE CARTON
XDG,"Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP))",,"JAULA, SEGUN LA CLASIFICACION DE LA COMPANIA (COMMONWEALTH HANDLING EQUIPMENT POOL (CHEP))"
XDH,"Caja, Según la clasificación de la compañía (CHEP), Eurobox",,"CAJA, SEGUN LA CLASIFICACION DE LA COMPANIA (CHEP), EUROBOX"
XDI,Tambor de hierro,,TAMBOR DE HIERRO
XDJ,"damajuana o garrafa, no protegido",,"DAMAJUANA O GARRAFA, NO PROTEGIDO"
XDK,"Cajón a granel, cartón",,"CAJON A GRANEL, CARTON"
XDL,Cajas de plástico,,CAJAS DE PLASTICO
XDM,Cajones a granel de madera,,CAJONES A GRANEL DE MADERA
XDN,Dispensador,,DISPENSADOR
XDP,"damajuana o garrafa, protegido",,"DAMAJUANA O GARRAFA, PROTEGIDO"
XDR,Tambor,,TAMBOR
XDS,Bandeja de una capa sin cubierta y de plástico,,BANDEJA DE UNA CAPA SIN CUBIERTA Y DE PLASTICO
XDT,Bandeja de una capa sin cubierta y de madera,,BANDEJA DE UNA CAPA SIN CUBIERTA Y DE MADERA
XDU,Bandeja de una capa sin cubierta y  poliestireno,,BANDEJA DE UNA CAPA SIN CUBIERTA Y  POLIESTIRENO
XDV,Bandeja de una capa sin cubierta y de cartón,,BANDEJA DE UNA CAPA SIN CUBIERTA Y DE CARTON
XDW,Bandeja de dos capas sin tapa y con bandeja de plástico,,BANDEJA DE DOS CAPAS SIN TAPA Y CON BANDEJA DE PLASTICO
XDX,Bandeja de dos capas sin cubierta y de madera,,BANDEJA DE DOS CAPAS SIN CUBIERTA Y DE MADERA
XDY,Bandeja de dos capas sin cubierta y de cartón,,BANDEJA DE DOS CAPAS SIN CUBIERTA Y DE CARTON
XEC,Bolsa de plástico,,BOLSA DE PLASTICO
XED,"Estuche, con pallet de base",,"ESTUCHE, CON PALLET DE BASE"
XEE,"Estuche, con pallet base de madera",,"ESTUCHE, CON PALLET BASE DE MADERA"
XEF,"Estuche, con pallet base de cartón",,"ESTUCHE, CON PALLET BASE DE CARTON"
XEG,"Estuche, con pallet base de plástico",,"ESTUCHE, CON PALLET BASE DE PLASTICO"
XEH,"Estuche, con pallet base de metal",,"ESTUCHE, CON PALLET BASE DE METAL"
XEI,Estuche isotérmico,,ESTUCHE ISOTERMICO
XEN,Sobre,,SOBRE
XFB,Bolsa flexible,,BOLSA FLEXIBLE
XFC,Cajón para fruta,,CAJON PARA FRUTA
XFD,Cajón enmarcado,,CAJON ENMARCADO
XFE,Tanque flexible,,TANQUE FLEXIBLE
XFI,Firkin,,FIRKIN
XFL,Matraz,,MATRAZ
XFO,Cajón para zapatos,,CAJON PARA ZAPATOS
XFP,Caja auxiliar para película fotográfica,,CAJA AUXILIAR PARA PELICULA FOTOGRAFICA
XFR,Marco,,MARCO
XFT,Contenedor para alimentos,,CONTENEDOR PARA ALIMENTOS
XFW,Carro de cama plana,,CARRO DE CAMA PLANA
XFX,Bolsa flexible tipo contenedor,,BOLSA FLEXIBLE TIPO CONTENEDOR
XGB,Botella para gas,,BOTELLA PARA GAS
XGI,Viga,,VIGA
XGL,Contenedor tipo galón,,CONTENEDOR TIPO GALON
XGR,Recipiente de vidrio,,RECIPIENTE DE VIDRIO
XGU,Bandeja contenedor para apilar horizontalmente objetos planos,,BANDEJA CONTENEDOR PARA APILAR HORIZONTALMENTE OBJETOS PLANOS
XGY,Costal de Yute,,COSTAL DE YUTE
XGZ,Vigas con correas o agrupadas,,VIGAS CON CORREAS O AGRUPADAS
XHA,Cesta con mango y de plástico,,CESTA CON MANGO Y DE PLASTICO
XHB,Cesta con mango y de madera,,CESTA CON MANGO Y DE MADERA
XHC,Cesta  con asa y de  cartón,,CESTA  CON ASA Y DE  CARTON
XHG,Hogshead,,HOGSHEAD
XHN,Gancho,,GANCHO
XHR,Cesto,,CESTO
XIA,Paquete con pantalla y de madera,,PAQUETE CON PANTALLA Y DE MADERA
XIB,Paquete  con pantalla y de cartón,,PAQUETE  CON PANTALLA Y DE CARTON
XIC,Paquete con pantalla y de plástico,,PAQUETE CON PANTALLA Y DE PLASTICO
XID,Paquete con pantalla y de metal,,PAQUETE CON PANTALLA Y DE METAL
XIE,Paquete de mostrador.,,PAQUETE DE MOSTRADOR.
XIF,Envase para alimentos,,ENVASE PARA ALIMENTOS
XIG,Paquete envuelto en papel,,PAQUETE ENVUELTO EN PAPEL
XIH,Tambor de plástico,,TAMBOR DE PLASTICO
XIK,Paquete de cartón con los agujeros para botellas,,PAQUETE DE CARTON CON LOS AGUJEROS PARA BOTELLAS
XIL,Bandeja rígida con tapa y apilable (CEN TS 14482: 2002),,BANDEJA RIGIDA CON TAPA Y APILABLE (CEN TS 14482: 2002)
XIN,Lingote,,LINGOTE
XIZ,Lingotes  con correas/ agrupados,,LINGOTES  CON CORREAS/ AGRUPADOS
XJB,Bolsa jumbo,,BOLSA JUMBO
XJC,Bidón rectangular,,BIDON RECTANGULAR
XJG,Jarra,,JARRA
XJR,Tarro,,TARRO
XJT,Bolsa de yute,,BOLSA DE YUTE
XJY,"Bidón, cilíndrico",,"BIDON, CILINDRICO"
XKG,Barrilete,,BARRILETE
XKI,Kit (Conjunto de piezas),,KIT (CONJUNTO DE PIEZAS)
XLE,Valijas,,VALIJAS
XLG,Bitacora,,BITACORA
XLT,Lote,,LOTE
XLU,Caja de arrastre,,CAJA DE ARRASTRE
XLV,Contenedor pequeño,,CONTENEDOR PEQUENO
XLZ,Registros  con fleje/ agrupados/ armados,,REGISTROS  CON FLEJE/ AGRUPADOS/ ARMADOS
XMA,Cajón metálico,,CAJON METALICO
XMB,Múltiplo de bolsas,,MULTIPLO DE BOLSAS
XMC,Cajón para leche,,CAJON PARA LECHE
XME,Contenedor de metal,,CONTENEDOR DE METAL
XMR,Recipiente de metal,,RECIPIENTE DE METAL
XMS,Saco milti-pared,,SACO MILTI-PARED
XMT,Tapete,,TAPETE
XMW,Contenedor envuelto en plástico,,CONTENEDOR ENVUELTO EN PLASTICO
XMX,Caja pequeña de cerillos,,CAJA PEQUENA DE CERILLOS
XNA,No disponible,,NO DISPONIBLE
XNE,Sin empaque o no empaquetado,,SIN EMPAQUE O NO EMPAQUETADO
XNF,"Sin empaque o no empaquetado, unidad simple",,"SIN EMPAQUE O NO EMPAQUETADO, UNIDAD SIMPLE"
XNG,"Sin empaque o no empaquetado, unidades múltiples",,"SIN EMPAQUE O NO EMPAQUETADO, UNIDADES MULTIPLES"
XNS,Caja nido,,CAJA NIDO
XNT,Red,,RED
XNU,Red de plástico con tubo,,RED DE PLASTICO CON TUBO
XNV,Red textil con tubo,,RED TEXTIL CON TUBO
XOA,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 6",0 cm,"PALLET, SEGUN LA CLASIFICACION DE LA COMPANIA (COMMONWEALTH HANDLING EQUIPMENT POOL (CHEP) 40 CM X 6"
XOB,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 1",20 cm,"PALLET, SEGUN LA CLASIFICACION DE LA COMPANIA (COMMONWEALTH HANDLING EQUIPMENT POOL (CHEP) 80 CM X 1"
XOC,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x",120 cm,"PALLET, SEGUN LA CLASIFICACION DE LA COMPANIA (COMMONWEALTH HANDLING EQUIPMENT POOL (CHEP) 100 CM X"
XOD,"Pallet, AS 4068-1993",,"PALLET, AS 4068-1993"
XOE,"Pallet, ISO T11",,"PALLET, ISO T11"
XOF,"Plataforma, peso o dimensión no especificada",,"PLATAFORMA, PESO O DIMENSION NO ESPECIFICADA"
XOK,Bloque,,BLOQUE
XOT,Octabin,,OCTABIN
XP2,Charola,,CHAROLA
XPA,Cajetilla,,CAJETILLA
XPB,"Pallet, Caja combinada y abierta con caja y pallet.",,"PALLET, CAJA COMBINADA Y ABIERTA CON CAJA Y PALLET."
XPC,Paquete postal,,PAQUETE POSTAL
XPD,Pallet modular con collares (80cms * 100cms),,PALLET MODULAR CON COLLARES (80CMS * 100CMS)
XPE,Pallet modular con collares (80cms * 120cms),,PALLET MODULAR CON COLLARES (80CMS * 120CMS)
XPF,Corral,,CORRAL
XPG,Placa,,PLACA
XPH,Cantaro,,CANTARO
XPI,Pleca,,PLECA
XPJ,Canastilla,,CANASTILLA
XPK,Paquete,,PAQUETE
XPL,Balde,,BALDE
XPN,Tablón,,TABLON
XPO,Bolsa pequeña,,BOLSA PEQUENA
XPR,Contenedor de plástico,,CONTENEDOR DE PLASTICO
XPT,Maceta,,MACETA
XPU,Cacerola,,CACEROLA
XPV,"Tubos, con fleje/ agrupados/ armados",,"TUBOS, CON FLEJE/ AGRUPADOS/ ARMADOS"
XPX,Pallet,,PALLET
XPY,Placas con fleje/ agrupados/ armados,,PLACAS CON FLEJE/ AGRUPADOS/ ARMADOS
XPZ,Tablones con fleje/ agrupados/ armados,,TABLONES CON FLEJE/ AGRUPADOS/ ARMADOS
XQA,Tambor de acero con cabeza no desmontable,,TAMBOR DE ACERO CON CABEZA NO DESMONTABLE
XQB,Tambor de  acero con cabeza extraíble,,TAMBOR DE  ACERO CON CABEZA EXTRAIBLE
XQC,Tambor de aluminio con cabeza no extraíble,,TAMBOR DE ALUMINIO CON CABEZA NO EXTRAIBLE
XQD,Tambor de aluminio con cabeza extraíble,,TAMBOR DE ALUMINIO CON CABEZA EXTRAIBLE
XQF,"Tambor, plástico con cabeza no desmontable",,"TAMBOR, PLASTICO CON CABEZA NO DESMONTABLE"
XQG,"Tambor, plástico, cabeza extraíble",,"TAMBOR, PLASTICO, CABEZA EXTRAIBLE"
XQH,Barril de madera con tapón,,BARRIL DE MADERA CON TAPON
XQJ,Barril de madera con cabeza desprendible,,BARRIL DE MADERA CON CABEZA DESPRENDIBLE
XQK,Bidón de acero con cabeza no desmontable,,BIDON DE ACERO CON CABEZA NO DESMONTABLE
XQL,Bidón de acero con cabeza desmontable,,BIDON DE ACERO CON CABEZA DESMONTABLE
XQM,Bidón de plástico con cabeza no desmontable,,BIDON DE PLASTICO CON CABEZA NO DESMONTABLE
XQN,Bidón de plástico con cabeza extraíble,,BIDON DE PLASTICO CON CABEZA EXTRAIBLE
XQP,Caja de madera natural estándar,,CAJA DE MADERA NATURAL ESTANDAR
XQQ,Caja de madera natural con muros a prueba de filtraciones,,CAJA DE MADERA NATURAL CON MUROS A PRUEBA DE FILTRACIONES
XQR,Caja de plástico expandida,,CAJA DE PLASTICO EXPANDIDA
XQS,Caja de plástico sólida,,CAJA DE PLASTICO SOLIDA
XRD,Rod,,ROD
XRG,Anillo,,ANILLO
XRJ,"Estante, Perchero para ropa",,"ESTANTE, PERCHERO PARA ROPA"
XRK,Estante,,ESTANTE
XRL,Carrete,,CARRETE
XRO,Rollo,,ROLLO
XRT,Red Roja,,RED ROJA
XRZ,Varillas  con fleje/ agrupados/ armados,,VARILLAS  CON FLEJE/ AGRUPADOS/ ARMADOS
XSA,Saco,,SACO
XSB,Losa,,LOSA
XSC,Cajón poco profundo,,CAJON POCO PROFUNDO
XSD,Huso,,HUSO
XSE,Baúl,,BAUL
XSH,Bolsa pequeña hermética,,BOLSA PEQUENA HERMETICA
XSI,Patín,,PATIN
XSK,Carcasa esqueleto,,CARCASA ESQUELETO
XSL,Hoja de deslizamiento,,HOJA DE DESLIZAMIENTO
XSM,Hoja de metal,,HOJA DE METAL
XSO,Carrete pequeño,,CARRETE PEQUENO
XSP,Hoja de empaque de plástico,,HOJA DE EMPAQUE DE PLASTICO
Xá,Cajón de acero,,CAJON DE ACERO
XSU,Maleta,,MALETA
XSV,Sobre de acero,,SOBRE DE ACERO
XSW,Envoltorio,,ENVOLTORIO
XSY,Manga,,MANGA
